2025-04-24 00:39:24.588 [info] Starting Python Locator /home/huong/.vscode-server/extensions/ms-python.python-2025.4.0-linux-x64/python-env-tools/bin/pet server
2025-04-24 00:39:24.619 [info] Discovered env: /usr/bin/python3
2025-04-24 00:39:24.631 [info] Discovered env: /bin/python3
2025-04-24 00:39:25.009 [info] Resolved Python Environment /usr/bin/python3
2025-04-24 00:39:25.215 [info] Resolved Python Environment /bin/python3
2025-04-24 00:39:28.232 [info] Locator Conda took 4.581615679s
2025-04-24 00:39:28.233 [info] Locator Homebrew took 16.327601ms
2025-04-24 00:39:28.234 [info] Locator LinuxGlobal took 187.05945ms
2025-04-24 00:39:28.234 [info] Locator PipEnv took 158.598µs
2025-04-24 00:39:28.234 [info] Locator Pixi took 24.5µs
2025-04-24 00:39:28.234 [info] Locator Poetry took 59.294378ms
2025-04-24 00:39:28.234 [info] Locator PyEnv took 73.569004ms
2025-04-24 00:39:28.235 [info] Locator Venv took 36.699µs
2025-04-24 00:39:28.235 [info] Locator VirtualEnv took 24.699µs
2025-04-24 00:39:28.235 [info] Locator VirtualEnvWrapper took 21.199µs
2025-04-24 00:39:28.235 [info] Locator GlobalVirtualEnvs took 8.487597ms
2025-04-24 00:39:28.235 [info] Locator Locators took 4.582085372s
2025-04-24 00:39:28.235 [info] Locator Path took 483.723587ms
2025-04-24 00:39:28.235 [info] Locator Workspaces took 2.2µs
2025-04-24 00:39:28.235 [info] Refresh completed in 4582ms
2025-04-24 00:44:45.575 [info] Resolved Python Environment /bin/python3
2025-04-24 00:53:09.578 [info] Resolved Python Environment /bin/python3
2025-04-24 00:56:58.495 [info] Resolved Python Environment /bin/python3
2025-04-24 01:07:39.382 [info] Resolved Python Environment /bin/python3
2025-04-24 01:11:46.868 [info] Resolved Python Environment /bin/python3
2025-04-24 01:34:40.709 [info] Resolved Python Environment /bin/python3
2025-04-24 01:51:19.950 [info] Resolved Python Environment /bin/python3
2025-04-24 01:53:05.500 [info] Resolved Python Environment /bin/python3
2025-04-24 01:56:38.358 [info] Resolved Python Environment /bin/python3
2025-04-24 02:09:51.425 [info] Resolved Python Environment /bin/python3
2025-04-24 02:17:09.467 [info] Resolved Python Environment /bin/python3
